Algorithm,ArrayType,Size,TimeMs,Comparisons
QuickSort,random,100,0.0486,655
MergeSort,random,100,0.129,596
Ternary String QuickSort,random,100,0.0348,855
String MergeSort,random,100,0.1288,596
MSD Radix Sort,random,100,0.1908,354
MSD Radix Sort with Cutoff,random,100,0.0226,306
QuickSort,reverse,100,0.286,5010
MergeSort,reverse,100,0.1138,367
Ternary String QuickSort,reverse,100,0.0904,2860
String MergeSort,reverse,100,0.114,367
MSD Radix Sort,reverse,100,0.1928,350
MSD Radix Sort with Cutoff,reverse,100,0.022,304
QuickSort,nearly_sorted,100,0.1744,2815
MergeSort,nearly_sorted,100,0.1174,471
Ternary String QuickSort,nearly_sorted,100,0.0402,1143
String MergeSort,nearly_sorted,100,0.1148,471
MSD Radix Sort,nearly_sorted,100,0.1768,346
MSD Radix Sort with Cutoff,nearly_sorted,100,0.0218,304
QuickSort,common_prefix,100,0.1736,4635
MergeSort,common_prefix,100,0.2578,4378
Ternary String QuickSort,common_prefix,100,0.0394,1390
String MergeSort,common_prefix,100,0.2524,4378
MSD Radix Sort,common_prefix,100,0.3166,1760
MSD Radix Sort with Cutoff,common_prefix,100,0.1408,1703
QuickSort,random,200,0.1248,1838
MergeSort,random,200,0.2982,1486
Ternary String QuickSort,random,200,0.061,1577
String MergeSort,random,200,0.311,1486
MSD Radix Sort,random,200,0.3632,782
MSD Radix Sort with Cutoff,random,200,0.043,687
QuickSort,reverse,200,1.0896,20157
MergeSort,reverse,200,0.2566,903
Ternary String QuickSort,reverse,200,0.2594,7857
String MergeSort,reverse,200,0.2652,903
MSD Radix Sort,reverse,200,0.39,790
MSD Radix Sort with Cutoff,reverse,200,0.049,780
QuickSort,nearly_sorted,200,0.6596,11899
MergeSort,nearly_sorted,200,0.2696,1235
Ternary String QuickSort,nearly_sorted,200,0.1112,2425
String MergeSort,nearly_sorted,200,0.2732,1235
MSD Radix Sort,nearly_sorted,200,0.3508,774
MSD Radix Sort with Cutoff,nearly_sorted,200,0.042,717
QuickSort,common_prefix,200,0.5296,14487
MergeSort,common_prefix,200,0.5952,10565
Ternary String QuickSort,common_prefix,200,0.083,2888
String MergeSort,common_prefix,200,0.6036,10565
MSD Radix Sort,common_prefix,200,0.5732,3584
